french_name;species;minYear;maxYear;estimate;se;infIC;supIC;GR;infGR;supGR;perc;infPerc;supPerc;pval;trend;trendEBCC;Protocole;Espece;Comparaison
Grive musicienne;Grive musicienne;2014;2023;0.00800717;0.003125778;0.001880644;0.014133695;1.008039313;1.001882414;1.014234048;7.50%;1.70%;13.60%;0.010417435;Augmentation modérée;Augmentation modérée;STOC;odj;Different
Grosbec casse-noyaux;Grosbec casse-noyaux;2014;2023;0.000759738;0.012685669;-0.024104173;0.025623649;1.000760027;0.976184013;1.025954756;0.70%;-19.50%;25.90%;0.95224367;Stable;Stable;STOC;odj;Different
Grosbec casse-noyaux;Grosbec casse-noyaux;2014;2023;0.0670002;0.033067299;0.002188294;0.131812106;1.069295692;1.00219069;1.140893932;82.80%;2%;227.50%;0.042746653;Augmentation modÃ©rÃ©e Ã  forte;Augmentation modÃ©rÃ©e;ODJ;odj;Different
HÃ©ron cendrÃ©;HÃ©ron cendrÃ©;2014;2023;0.027067759;0.00983778;0.007785711;0.046349807;1.027437418;1.007816098;1.047440749;27.60%;7.30%;51.80%;0.005933945;Augmentation modérée;Augmentation modérée;STOC;autre;Incertain
HÃ©ron cendrÃ©;HÃ©ron cendrÃ©;2014;2023;0.014383098;0.043273112;-0.070432202;0.099198398;1.014487032;0.931990924;1.104285366;13.80%;-46.90%;144.20%;0.739602673;Incertain;Incertain;ODJ;autre;Incertain
Hirondelle de fenÃªtre;Hirondelle de fenÃªtre;2014;2023;0.019795189;0.01165728;-0.00305308;0.042643457;1.019992413;0.996951576;1.043565753;19.50%;-2.70%;46.80%;0.089489504;Incertain;Stable;STOC;odj;Incertain
Hirondelle de fenÃªtre;Hirondelle de fenÃªtre;2014;2023;0.008950071;0.011094642;-0.012795428;0.03069557;1.008990243;0.987286086;1.031171536;8.40%;-10.90%;31.80%;0.419838139;Incertain;Stable;ODJ;odj;Incertain
Hirondelle rustique;Hirondelle rustique;2014;2023;0.007167587;0.00571462;-0.004033068;0.018368243;1.007193336;0.995975054;1.018537977;6.70%;-3.60%;18%;0.209749557;Stable;Stable;ODJ;odj;Different
Hirondelle rustique;Hirondelle rustique;2014;2023;-0.015199264;0.004509012;-0.024036928;-0.0063616;0.984915662;0.976249658;0.993658592;-12.80%;-19.50%;-5.60%;0.00074933;Déclin modéré;Déclin modéré;STOC;odj;Different
Huppe fasciÃ©e;Huppe fasciÃ©e;2014;2023;0.02994779;0.016240594;-0.001883774;0.061779355;1.030400735;0.998117999;1.063727612;30.90%;-1.70%;74.40%;0.065181934;Incertain;Incertain;ODJ;odj;Incertain
