",""french_name"",""species"",""minYear"",""maxYear"",""estimate"",""se"",""infIC"",""supIC"",""GR"",""infGR"",""supGR"",""perc"",""infPerc"",""supPerc"",""pval"",""trend"",""trendEBCC"""
"36,""Bruant zizi"",""EMBCIR"",2014,2023,0.0432279419875692,0.0153988269839158,0.0130462410990941,0.0734096428760441,1.04417587925155,1.01313171460068,1.07617129253573,""+47.6%"",""+12.5%"",""+93.6%"",0.00499706285599299,""Augmentation modérée à forte"",""Augmentation modérée"""
"37,""Chevalier culblanc"",""TRIOCH"",2014,2023,0.0381328012828003,0.0271830127897364,-0.015145903785083,0.0914115063506835,1.03886918687874,0.984968218527324,1.0957198081576,""+40.9%"",""-12.7%"",""+127.7%"",0.160671319387099,""Incertain"",""Incertain"""
"38,""Cigogne blanche"",""CICCIC"",2014,2023,0.0312319346362113,0.0688016978074175,-0.103619393066327,0.16608326233875,1.03172476884747,0.901568375302974,1.18067140309313,""+32.5%"",""-60.6%"",""+345.8%"",0.649871050703816,""Incertain"",""Incertain"""
"39,""Alouette des champs"",""ALAARV"",2014,2023,0.0303750696693523,0.0175524353794719,-0.0040277036744128,0.0647778430131171,1.03084109868467,0.995980396645153,1.066921973883,""+31.4%"",""-3.6%"",""+79.1%"",0.0835350802260695,""Incertain"",""Incertain"""
"40,""Bergeronnette des ruisseaux"",""MOTCIN"",2014,2023,0.0268527422409239,0.0161449855164081,-0.004791429371236,0.0584969138530839,1.02721652602172,0.995220031214971,1.06024171362785,""+27.3%"",""-4.2%"",""+69.3%"",0.0962674211548103,""Incertain"",""Incertain"""
"41,""Fauvette à tête noire"",""SYLATR"",2014,2023,0.0264934876761465,0.0172303343758158,-0.00727796770045245,0.0602649430527453,1.02684756007605,0.99274845257232,1.06211791003252,""+26.9%"",""-6.3%"",""+72%"",0.124144664917876,""Incertain"",""Incertain"""
"42,""Bec-croisé des sapins"",""LOXCUR"",2014,2023,0.0255965229994264,0.0448002921785203,-0.0622120496704734,0.113405095669326,1.02592692703567,0.939683606064114,1.12008558287547,""+25.9%"",""-42.9%"",""+177.5%"",0.567764289807743,""Incertain"",""Incertain"""
"43,""Perdrix grise"",""PERPER"",2014,2023,0.0253697388861577,0.0550124369699789,-0.0824546375750007,0.133194115347316,1.02569428948749,0.920853209044007,1.14247174810786,""+25.6%"",""-52.4%"",""+231.6%"",0.644681164161693,""Incertain"",""Incertain"""
"44,""Tourterelle turque"",""STRDEC"",2014,2023,0.0245548396214367,0.00957304052959188,0.00579168018343669,0.0433179990594368,1.02485879243436,1.00580848438897,1.04426991890816,""+24.7%"",""+5.4%"",""+47.7%"",0.0103176095041522,""Augmentation modérée"",""Augmentation modérée"""
"45,""Faucon crécerelle"",""FALTIN"",2014,2023,0.0231225548582288,0.0082337632836714,0.00698437882223293,0.0392607308942249,1.02339195351779,1.00700882648009,1.04004161928333,""+23.1%"",""+6.5%"",""+42.4%"",0.00498098668202854,""Augmentation modérée"",""Augmentation modérée"""
"46,""Vanneau huppé"",""VANVAN"",2014,2023,0.0229869696936261,0.0390955933563453,-0.0536403932848106,0.0996143326720629,1.02325320615757,0.94777287071636,1.10474477194136,""+23%"",""-38.3%"",""+145.1%"",0.556553568351055,""Incertain"",""Incertain"""
"47,""Faisan de Colchide"",""PHACOL"",2014,2023,0.0210987649092758,0.0212505186305394,-0.0205522516065816,0.062749781425133,1.02132291752173,0.979657506458537,1.06476038307093,""+20.9%"",""-16.9%"",""+75.9%"",0.320778759087484,""Incertain"",""Incertain"""
"48,""Pic épeichette"",""DENMIN"",2014,2023,0.0208860581011218,0.0181826965821596,-0.014752027199911,0.0565241434021548,1.02110569828668,0.985356250859148,1.05815216188501,""+20.7%"",""-12.4%"",""+66.3%"",0.250688904210752,""Incertain"",""Incertain"""
"49,""Roitelet à triple bandeau"",""REGIGN"",2014,2023,0.0204889674192615,0.0101101991840628,0.000672977018498401,0.0403049578200245,1.02070030722253,1.00067320351834,1.04112822597939,""+20.2%"",""+0.6%"",""+43.7%"",0.0427070039333258,""Augmentation modérée"",""Augmentation modérée"""
"50,""Mésange boréale"",""PARMON"",2014,2023,0.0198857131137543,0.0596750861077137,-0.0970774556573645,0.136848881884873,1.02008475105468,0.907485713508538,1.14665485510644,""+19.6%"",""-58.3%"",""+242.7%"",0.738958344790573,""Incertain"",""Incertain"""
"51,""Canard colvert"",""ANAPLA"",2014,2023,0.0178286806596376,0.0181957131515228,-0.0178349171173472,0.0534922784366224,1.01798856032115,0.98232318371659,1.05494884588177,""+17.4%"",""-14.8%"",""+61.8%"",0.327170718043626,""Incertain"",""Incertain"""
"52,""Grand Cormoran"",""PHACAR"",2014,2023,0.0171896992032158,0.014533231662087,-0.0112954348544747,0.0456748332609062,1.01733829228499,0.988768119055049,1.04673399253451,""+16.7%"",""-9.7%"",""+50.8%"",0.236894072470878,""Incertain"",""Stable"""
"53,""Pie bavarde"",""PICPIC"",2014,2023,0.0171714275112172,0.00655772919719499,0.00431827828471513,0.0300245767377195,1.01731970396287,1.00432761548376,1.03047985947554,""+16.7%"",""+4%"",""+31%"",0.00883167544172532,""Augmentation modérée"",""Augmentation modérée"""
"54,""Pic épeiche"",""DENMAJ"",2014,2023,0.0171270889585374,0.00529906598128704,0.00674091963521487,0.0275132582818601,1.01727459847955,1.00676369077136,1.02789524314177,""+16.7%"",""+6.3%"",""+28.1%"",0.00122885845891341,""Augmentation modérée"",""Augmentation modérée"""
"55,""Étourneau sansonnet"",""STUVUL"",2014,2023,0.0169778608522269,0.00938972521794936,-0.00142600057495395,0.0353817222794076,1.01712280384391,0.998575015680748,1.03601510337612,""+16.5%"",""-1.3%"",""+37.5%"",0.0705859884234287,""Incertain"",""Stable"""
"56,""Cisticole des joncs"",""CISJUN"",2014,2023,0.0161990430426552,0.030742496105446,-0.0440562493240189,0.0764543354093294,1.01633095888126,0.956900130973688,1.07945289643702,""+15.7%"",""-32.7%"",""+99%"",0.598244468545704,""Incertain"",""Incertain"""
"57,""Goéland brun"",""LARFUS"",2014,2023,0.0137404501894347,0.0832365889489952,-0.149403264150596,0.176884164529465,1.01383528403056,0.861221745007278,1.1934928363155,""+13.2%"",""-73.9%"",""+391.3%"",0.868883340085931,""Incertain"",""Incertain"""
"58,""Chardonneret élégant"",""CARCAR"",2014,2023,0.0132018721296472,0.0121241907307032,-0.0105615417025309,0.0369652859618254,1.01328940160368,0.989494035546474,1.03765699894825,""+12.6%"",""-9.1%"",""+39.5%"",0.276203775797206,""Incertain"",""Stable"""
"59,""Mouette rieuse"",""LARRID"",2014,2023,0.0130686370621265,0.0281355077686842,-0.0420769581644946,0.0682142322887476,1.01315440491519,0.958795990553591,1.07059463985282,""+12.5%"",""-31.5%"",""+84.8%"",0.642297357404051,""Incertain"",""Incertain"""
"60,""Rougegorge familier"",""ERIRUB"",2014,2023,0.0126054721906941,0.00351460647766103,0.00571684349447853,0.0194941008869098,1.01268525604052,1.00573321582874,1.01968535160371,""+12%"",""+5.3%"",""+19.2%"",0.00033502325185073,""Augmentation modérée"",""Augmentation modérée"""
