french_name;species;minYear;maxYear;estimate;se;infIC;supIC;GR;infGR;supGR;perc;infPerc;supPerc;pval;trend;trendEBCC;Protocole;Espece;Comparaison
Grive musicienne;Grive musicienne;2015;2024;0.023063174;0.004784076;0.013686385;0.032439963;1.023331186;1.013780473;1.032971875;23.10%;13.10%;33.90%;1.43E-06;Augmentation modérée;Augmentation modérée;ODJ;odj;Different
Grive musicienne;Grive musicienne;2014;2023;0.011016711;0.009529288;-0.007660693;0.029694116;1.011077619;0.992368575;1.030139382;10.40%;-6.70%;30.60%;0.247644475;Incertain;Stable;SHOC;odj;Different
Grosbec casse-noyaux;Grosbec casse-noyaux;2015;2024;-0.025506312;0.00488487;-0.035080656;-0.015931968;0.974816226;0.965527537;0.984194275;-20.50%;-27.10%;-13.40%;1.77E-07;Déclin modéré;Déclin modéré;ODJ;odj;Similaire
Grosbec casse-noyaux;Grosbec casse-noyaux;2014;2023;-0.043182867;0.01901439;-0.080451071;-0.005914664;0.957736235;0.922700049;0.994102793;-32.20%;-51.50%;-5.20%;0.023143194;Déclin modéré à fort;Déclin modéré;SHOC;odj;Similaire
Héron cendré;Héron cendré;2015;2024;0.020700842;0.023402685;-0.02516842;0.066570105;1.020916591;0.975145664;1.068835892;20.50%;-20.30%;82.10%;0.376399444;Incertain;Incertain;ODJ;autre;Incertain
Héron cendré;Héron cendré;2014;2023;-0.003852004;0.009861534;-0.023180611;0.015476603;0.996155405;0.977085995;1.015596986;-3.40%;-18.80%;14.90%;0.696086272;Stable;Stable;SHOC;autre;Incertain
Héron garde-boeufs;Héron garde-boeufs;2015;2024;0.109522376;0.07366325;-0.034857594;0.253902347;1.115745037;0.965742934;1.289045918;168%;-26.90%;882.70%;0.137068157;Incertain;Incertain;ODJ;autre;Incertain
Héron garde-boeufs;Héron garde-boeufs;2014;2023;0.277306647;0.040470584;0.197984302;0.356628992;1.319570952;1.218943258;1.428505785;1113.10%;494.10%;2377.10%;7.28E-12;Augmentation forte;Forte augmentation;SHOC;autre;Incertain
Linotte mélodieuse;Linotte mélodieuse;2015;2024;-0.005701193;0.039636349;-0.083388438;0.071986051;0.994315028;0.919993718;1.074640354;-5%;-52.80%;91.10%;0.885628797;Incertain;Incertain;ODJ;odj;Incertain
Linotte mélodieuse;Linotte mélodieuse;2014;2023;-0.009782249;0.024906179;-0.05859836;0.039033861;0.990265441;0.943085474;1.039805692;-8.40%;-41%;42.10%;0.694493825;Incertain;Incertain;SHOC;odj;Incertain
Mésange à longue queue;Mésange à longue queue;2015;2024;0.012420072;0.005169853;0.00228716;0.022552983;1.012497521;1.002289778;1.022809224;11.80%;2.10%;22.50%;0.016287737;Augmentation modérée;Augmentation modérée;ODJ;odj;Different
Mésange à longue queue;Mésange à longue queue;2014;2023;0.007714195;0.009427541;-0.010763785;0.026192174;1.007744026;0.989293937;1.026538204;7.20%;-9.20%;26.60%;0.413207809;Stable;Stable;SHOC;odj;Different
Mésange bleue;Mésange bleue;2015;2024;0.003800917;0.001229469;0.001391157;0.006210676;1.003808149;1.001392126;1.006230002;3.50%;1.30%;5.70%;0.001991408;Augmentation modérée;Augmentation modérée;ODJ;odj;Different
Mésange bleue;Mésange bleue;2014;2023;0.004698144;0.004518408;-0.004157935;0.013554223;1.004709198;0.995850697;1.013646498;4.30%;-3.70%;13%;0.298442739;Stable;Stable;SHOC;odj;Different
Mésange charbonnière;Mésange charbonnière;2015;2024;0.005468997;0.001120803;0.003272223;0.007665772;1.005483979;1.003277582;1.007695229;5%;3%;7.10%;1.06E-06;Augmentation modérée;Augmentation modérée;ODJ;odj;Different
Mésange charbonnière;Mésange charbonnière;2014;2023;0.002214037;0.003646043;-0.004932206;0.009360281;1.00221649;0.995079937;1.009404225;2%;-4.30%;8.80%;0.543689045;Stable;Stable;SHOC;odj;Different
Mésange huppée;Mésange huppée;2015;2024;0.004057292;0.005273406;-0.006278584;0.014393168;1.004065534;0.993741086;1.014497248;3.70%;-5.50%;13.80%;0.441663367;Stable;Stable;ODJ;odj;Similaire
Mésange huppée;Mésange huppée;2014;2023;-0.00181106;0.014324342;-0.02988677;0.026264651;0.998190579;0.970555423;1.026612606;-1.60%;-23.60%;26.70%;0.899389728;Stable;Stable;SHOC;odj;Similaire
Mésange noire;Mésange noire;2015;2024;-0.106689786;0.006517442;-0.119463973;-0.0939156;0.898804451;0.887395977;0.910359594;-61.70%;-65.90%;-57.10%;3.14E-60;Déclin fort;Fort déclin;ODJ;autre;Incertain
Mésange noire;Mésange noire;2014;2023;-0.027285108;0.017661878;-0.061902389;0.007332173;0.973083768;0.939974634;1.007359119;-21.80%;-42.70%;6.80%;0.122380414;Incertain;Incertain;SHOC;autre;Incertain
Mésange nonnette;Mésange nonnette;2015;2024;-0.001855538;0.00326582;-0.008256546;0.00454547;0.998146182;0.991777446;1.004555816;-1.70%;-7.20%;4.20%;0.569920198;Stable;Stable;ODJ;odj;Similaire
Mésange nonnette;Mésange nonnette;2014;2023;-0.00773151;0.010985918;-0.029263908;0.013800889;0.992298302;0.971160134;1.013896561;-6.70%;-23.20%;13.20%;0.481578828;Stable;Stable;SHOC;odj;Similaire
Martin-pêcheur d'Europe;Martin-pêcheur d'Europe;2015;2024;0.018305874;0.042546202;-0.065084683;0.10169643;1.018474453;0.936988114;1.107047354;17.90%;-44.30%;149.70%;0.667007466;Incertain;Incertain;ODJ;autre;Incertain
Martin-pêcheur d'Europe;Martin-pêcheur d'Europe;2014;2023;-0.00440636;0.022316698;-0.048147089;0.039334369;0.995603334;0.952993602;1.040118209;-3.90%;-35.20%;42.50%;0.843477942;Incertain;Stable;SHOC;autre;Incertain
Merle noir;Merle noir;2015;2024;-0.001390246;0.001382297;-0.004099548;0.001319056;0.99861072;0.995908843;1.001319927;-1.20%;-3.60%;1.20%;0.31453561;Stable;Stable;ODJ;odj;Different
Merle noir;Merle noir;2014;2023;-0.016000003;0.003847594;-0.023541286;-0.008458719;0.984127317;0.976733648;0.991576955;-13.40%;-19.10%;-7.30%;3.20E-05;Déclin modéré;Déclin modéré;SHOC;odj;Different
Milan royal;Milan royal;2015;2024;0.042068853;0.025049232;-0.007027642;0.091165347;1.042966287;0.992996994;1.09545012;46%;-6.10%;127.20%;0.093064998;Incertain;Incertain;ODJ;autre;Incertain
Milan royal;Milan royal;2014;2023;0.264402543;0.03437002;0.197037304;0.331767782;1.302652464;1.217789468;1.393429231;980.10%;489%;1880.50%;1.44E-14;Augmentation forte;Forte augmentation;SHOC;autre;Incertain
Moineau domestique;Moineau domestique;2015;2024;0.023253946;0.001715823;0.019890933;0.02661696;1.023526427;1.020090076;1.026974355;23.30%;19.60%;27.10%;7.64E-42;Augmentation modérée;Augmentation modérée;ODJ;odj;Different
Moineau domestique;Moineau domestique;2014;2023;0.004706904;0.006565335;-0.008161153;0.01757496;1.004717998;0.991872059;1.017730308;4.30%;-7.10%;17.10%;0.4734156;Stable;Stable;SHOC;odj;Different
Moineau friquet;Moineau friquet;2015;2024;-0.150928409;0.013222707;-0.176844914;-0.125011903;0.859909259;0.837909723;0.882486398;-74.30%;-79.60%;-67.50%;3.55E-30;Déclin fort;Fort déclin;ODJ;autre;Similaire
Moineau friquet;Moineau friquet;2014;2023;-0.17452271;0.051888035;-0.276223258;-0.072822162;0.839857781;0.758643539;0.929766163;-79.20%;-91.70%;-48.10%;0.000769753;Déclin fort;Fort déclin;SHOC;autre;Similaire
Mouette rieuse;Mouette rieuse;2015;2024;0.004241197;0.040667199;-0.075466513;0.083948906;1.004250203;0.927310783;1.087573324;3.90%;-49.30%;112.90%;0.91693893;Incertain;Incertain;ODJ;autre;Incertain
Mouette rieuse;Mouette rieuse;2014;2023;0.013068637;0.028135508;-0.042076958;0.068214232;1.013154405;0.958795991;1.07059464;12.50%;-31.50%;84.80%;0.642297357;Incertain;Incertain;SHOC;autre;Incertain
Perruche à collier;Perruche à collier;2015;2024;0.101618798;0.010086171;0.081849903;0.121387694;1.106961416;1.085292898;1.129062558;149.60%;108.90%;198.20%;7.12E-24;Augmentation forte;Forte augmentation;ODJ;odj;Similaire
Perruche à collier;Perruche à collier;2014;2023;0.177486151;0.044607986;0.090054497;0.264917804;1.194211519;1.094233915;1.303323844;394%;124.90%;985.10%;6.93E-05;Augmentation forte;Forte augmentation;SHOC;odj;Similaire
Pic épeiche;Pic épeiche;2015;2024;0.042175449;0.004665949;0.033030188;0.05132071;1.043077469;1.03358174;1.052660437;46.20%;34.60%;58.70%;1.58E-19;Augmentation forte;Augmentation modérée;ODJ;odj;Similaire
Pic épeiche;Pic épeiche;2014;2023;0.017127089;0.005299066;0.00674092;0.027513258;1.017274598;1.006763691;1.027895243;16.70%;6.30%;28.10%;0.001228858;Augmentation modérée;Augmentation modérée;SHOC;odj;Similaire
Pic épeichette;Pic épeichette;2015;2024;0.039358218;0.018441176;0.003213513;0.075502922;1.040143014;1.003218682;1.078426379;42.50%;2.90%;97.30%;0.032821707;Augmentation modérée à forte;Augmentation modérée;ODJ;odj;Incertain
Pic épeichette;Pic épeichette;2014;2023;0.020886058;0.018182697;-0.014752027;0.056524143;1.021105698;0.985356251;1.058152162;20.70%;-12.40%;66.30%;0.250688904;Incertain;Incertain;SHOC;odj;Incertain
Pic mar;Pic mar;2015;2024;0.072287623;0.019601976;0.03386775;0.110707497;1.074964484;1.034447791;1.117068113;91.70%;35.60%;170.80%;0.000226226;Augmentation forte;Augmentation modérée;ODJ;odj;Similaire
Pic mar;Pic mar;2014;2023;0.108124801;0.025945811;0.057271012;0.158978591;1.114186789;1.058942757;1.172312849;164.60%;67.40%;318.20%;3.08E-05;Augmentation forte;Forte augmentation;SHOC;odj;Similaire
Pic vert;Pic vert;2015;2024;0.021968054;0.005618079;0.01095662;0.032979489;1.022211129;1.011016864;1.03352934;21.90%;10.40%;34.60%;9.22E-05;Augmentation modérée;Augmentation modérée;ODJ;odj;Different
Pic vert;Pic vert;2014;2023;0.009455781;0.005604899;-0.001529822;0.020441383;1.009500628;0.998471348;1.020651739;8.90%;-1.40%;20.20%;0.091592528;Stable;Stable;SHOC;odj;Different
Pie bavarde;Pie bavarde;2015;2024;0.027746927;0.001835914;0.024148536;0.031345318;1.028135459;1.024442473;1.031841756;28.40%;24.30%;32.60%;1.32E-51;Augmentation modérée;Augmentation modérée;ODJ;odj;Similaire
Pie bavarde;Pie bavarde;2014;2023;0.017171428;0.006557729;0.004318278;0.030024577;1.017319704;1.004327615;1.030479859;16.70%;4%;31%;0.008831675;Augmentation modérée;Augmentation modérée;SHOC;odj;Similaire
Pigeon biset domestique;Pigeon biset domestique;2015;2024;0.049944882;0.005941483;0.038299575;0.06159019;1.051213155;1.039042458;1.063526411;56.80%;41.20%;74.10%;4.24E-17;Augmentation forte;Augmentation modérée;SHOC;odj;Similaire
Pigeon biset domestique;Pigeon biset domestique;2014;2023;0.049336774;0.006496244;0.036604136;0.062069412;1.050574097;1.037282317;1.064036199;55.90%;39%;74.80%;3.09E-14;Augmentation forte;Augmentation modérée;ODJ;odj;Similaire
Pigeon ramier;Pigeon ramier;2015;2024;0.043763835;0.002385733;0.039087797;0.048439872;1.044735596;1.039861777;1.049632258;48.30%;42.20%;54.60%;3.69E-75;Augmentation forte;Augmentation modérée;ODJ;odj;Similaire
Pigeon ramier;Pigeon ramier;2014;2023;0.048410946;0.010003719;0.028803656;0.068018236;1.049601897;1.029222493;1.070384828;54.60%;29.60%;84.40%;1.30E-06;Augmentation modérée à forte;Augmentation modérée;SHOC;odj;Similaire
Pinson des arbres;Pinson des arbres;2015;2024;0.008575424;0.001608085;0.005423578;0.011727271;1.008612299;1.005438312;1.011796305;8%;5%;11.10%;9.68E-08;Augmentation modérée;Augmentation modérée;ODJ;odj;Different
Pinson des arbres;Pinson des arbres;2014;2023;0.005743729;0.007419178;-0.00879786;0.020285318;1.005760256;0.991240728;1.020492463;5.30%;-7.60%;20%;0.438828359;Stable;Stable;SHOC;odj;Different
Pinson du Nord;Pinson du Nord;2015;2024;0.090901383;0.008252158;0.074727154;0.107075612;1.095160999;1.077590095;1.113018409;126.60%;95.90%;162.10%;3.22E-28;Augmentation forte;Forte augmentation;ODJ;odj;Incertain
Pinson du Nord;Pinson du Nord;2014;2023;0.043474766;0.029745888;-0.014827174;0.101776707;1.044433639;0.985282207;1.107136228;47.90%;-12.50%;149.90%;0.143867664;Incertain;Incertain;SHOC;odj;Incertain
Pipit farlouse;Pipit farlouse;2015;2024;0.018280509;0.049105635;-0.077966536;0.114527553;1.01844862;0.92499538;1.121343537;17.90%;-50.40%;180.30%;0.709692532;Incertain;Incertain;ODJ;autre;Incertain
Pipit farlouse;Pipit farlouse;2014;2023;-0.021722226;0.014274422;-0.049700094;0.006255642;0.978512003;0.951514747;1.00627525;-17.80%;-36.10%;5.80%;0.128069566;Incertain;Stable;SHOC;autre;Incertain
Pouillot véloce;Pouillot véloce;2015;2024;-0.0210588;0.009051677;-0.038800087;-0.003317513;0.979161388;0.961942995;0.996687984;-17.30%;-29.50%;-2.90%;0.019991462;Déclin modéré;Déclin modéré;ODJ;odj;Oppose
Pouillot véloce;Pouillot véloce;2014;2023;0.05780954;0.012675699;0.032965169;0.08265391;1.059513181;1.033514541;1.086165833;68.30%;34.50%;110.40%;5.10E-06;Augmentation forte;Augmentation modérée;SHOC;odj;Oppose
Roitelet à triple bandeau;Roitelet à triple bandeau;2015;2024;0.041050398;0.019563363;0.002706205;0.07939459;1.041904614;1.002709871;1.082631434;44.70%;2.50%;104.30%;0.03587598;Augmentation modérée à forte;Augmentation modérée;ODJ;odj;Similaire
Roitelet à triple bandeau;Roitelet à triple bandeau;2014;2023;0.020488967;0.010110199;0.000672977;0.040304958;1.020700307;1.000673204;1.041128226;20.20%;0.60%;43.70%;0.042707004;Augmentation modérée;Augmentation modérée;SHOC;odj;Similaire
